,Unnamed: 0,video_id,comment,pol_textblob,pol_nlpWarriers,pol_human
183774,183774,2jvi4e0NIHs,yayy this was amazing I love you❤❤❤❤,4,4,4
219790,219790,nMABVXrg3D0,That Petrucci MM Model makes this even better dude! Awesome work man!,4,4,4
183598,183598,6u9LNN9HwC4,"will he or won't he pull the trigger\n\nCarrie Fisher's dead so he will, pretty simple question to answer",4,4,2
188834,188834,fLLe5sODKtg,With all due respect...of course your going to like it. You had a hand in helping make this book.,0,0,0
202305,202305,p1RKkRCiU90,I feel you 😂  My name is Sinan and my foreign friends sometimes call me Simal or Selam or even Siban. It sucks but you gotta live with it somehow 😅,0,0,0
172578,172578,6eHExt8C0qw,"We don’t have enough time for a sequel, but we do have time for a spin-off about writing about it, weird that the inventor of lie detector also wrote Wonder Woman had no idea.",0,0,0
123908,123908,etOa8-pFow4,click bait.  he never said that idiot poster!,0,0,0
227318,227318,BidMbVRT8NU,You’re so strong!! I love you both! You’re both amazing people! Xxx,4,4,4
140021,140021,dRX0wDNK6S4,"IMPORTANT MESSAGE!:\n\nI am not here for this video, I am here to tell you about The Lord Jesus Christ, the Son of God. He is the only Way to receive eternal life! \n\nJohn 3:16  For God so loved the world, that He gave His only begotten Son, that whosoever believeth in Him should not perish, but have everlasting life.\n\nChrist shed His blood as the ultimate sacrifice, to pay for all of man's sin. God offered His Son as a personal sacrifice for us, because He loves us so much. Every one is a sinner. No one is good enough to get into Heaven. But through  the Blood of Jesus Christ, He has made a way, the only WAY as Christ said. \n\nJohn 14:6 Jesus saith unto him, I am the way, the truth, and the life: no man cometh unto the Father, but by Me.\n\nThe gift of salvation is free: Believe in Jesus Christ as your personal Lord and Savior. \n\nRomans 10:9 That if thou shalt confess with thy mouth the Lord Jesus, and shalt believe in thine heart that God hath raised Him from the dead, thou shalt be saved.\n\nAs of today, this will be a time of decision and you will never be the same today, even if you refuse Christ you'll never be the same once you've faced Him, once you've heard the gospel and rejected it you can never be the same. The Bible says when the rich young ruler rejected Christ, he turned away, grieved emotionally disturbed, because when you reject the claims of Christ that's a very serious thing. This is the most important moment of decision making, for today your life will never be the same. If you reject Christ, you will be cast into HELL and there shall you be for ALL ETERNITY! I am not judging, I am warning everyone...\n\nI pray you will call upon the Lord Jesus Christ. Repent, ask Him to forgive you of your sins. Allow the Holy Ghost to enter your heart and transform you in an awesome way... Believe in Jesus Christ as your personal Lord and Savior.",4,4,4
226002,226002,AApylcoF9jA,i am from wexford and me grandmother is there right now i feel terrible,0,0,0
147039,147039,rfMJ-DylWBs,No sin removal for “you’re forgetting one thing about billy loomis...I fucking killed him”????,0,0,0
177736,177736,SmfWvo4cMpU,Yay!!! I love how happy and excited you are!!! Thanks fir sharing with us! So happy for you xxx,4,4,4
226763,226763,cL8Ls0tEMcc,Evil laugh doe,0,0,2
131251,131251,TTkzAiZ6YV0,scott just knows how to break my heart through song! #JustSaying\nThese boys - just insanely talented... can't deal. This video – amazing!,4,4,4
188664,188664,M3siIx0W8aM,Kodaline always has such great videos.,4,4,4
152434,152434,c2BcR39AtxE,NO BLEACH EMOJI WTF,0,0,0
127097,127097,F5D1x-OtGME,the sad thing is i never read harry potter so i believed him even when he said that ron dies,0,0,0
128635,128635,T58NGMrUp0M,Umm...... why was Felix the trap-o-cat hiding behind that stack of cash.....,0,0,2
117940,117940,q2KehxKQ3Zk,Yo them snapchat streaks :( #rip,0,0,2
214382,214382,tUKgtLyu8yI,"she looks so pretty  ,..,",4,4,4
155252,155252,5CZAmbA4SfU,One thing about san junipero that bugged me is this heaven... when you're dead you're dead. thoughts downloaded onto a machine is AI all code.,0,0,0
144726,144726,WU_Bbaki3f0,I absolutely ADORE him. I bought his book and it arrived yesterday. I’m really looking forward to it it’s the first of his books I’ll be reading.,4,4,4
211554,211554,YK53kxDdkiU,Great gift for my birthday!! #GoCavs,4,4,4
149023,149023,5CZAmbA4SfU,some people say this is a happy episode... they didn't see the last 25 seconds...,4,4,2
201373,201373,iALfvFpcItE,When a secret Philly D link gives you your life story...,0,0,0
211110,211110,5Zs_5VghD6U,Love it Brett! Video fits the song just right.,4,4,4
129892,129892,MiZCudqoFAU,"Generally there is certainly definitely simply no magic, working associated along with the app of infant baby heartbeat listener Tracker- Heartbeat monitors listener free completely is dependent on your own phone's equipment.\nhttps://play.google.com/store/apps/details?id=com.appgametechnologies.baby_heart_rate_monitor_listener&hl=en",4,4,2
124899,124899,q2KehxKQ3Zk,"Elon Musk's idea to use Puerto Rico for solar expansion makes sense. We all should be independent instead of linking up to a grid. I saw a book YEARS AGO which said all we need is a solar panel and a small wind mill attached to our house. With sick people needing electricity, we really should go this route. Extreme weather is our future thanks to BIG OIL. Now is the time to go with this alternative.",0,0,2
227402,227402,pnKcqi0Wvys,Ned is just so cute in this video! You just want to root for him! And Keith and Eugene singing is something I wish they would do more of because it was just so precious.,4,4,4
205782,205782,ibHFy-mo4Pw,IS NO ONE GOING TO TALK ABOUT ALLY? SHE SOUND SO GOOD WTF STOP SLEEPING ON ALLY BROOKE,4,4,0
125204,125204,is7Hx7B5e2c,Hands down BEST dance of the night🙌 Mark's jive choreo is superb👏,4,4,4
213789,213789,cmSphKD18uo,Good makeup eyeshadow science 🔬,4,4,4
142969,142969,DprHLyvhbSg,Not your best Hannah.,4,4,0
147073,147073,z5Wo-iF6lA8,I enjoy your videos! Keep up the good work! Come check out my channel & subscribe!!!,4,4,4
227510,227510,cWL4eiCR8FM,I think what's wrong with the sugat skulls is that she put too much water,0,0,0
177876,177876,fBR-MFpVKuc,In school I used to always question why the things we were learning were relevant to our us. Now I willfully click on these kinds of videos...,4,4,2
171060,171060,a5F05Qpi6lM,Blind Man Video By Moses @rdkit https://youtu.be/nL7_FAjFe1c Pass it on🔥💯,0,0,2
172273,172273,KbYCmEptlL8,"And everyone saying the wig, I honestly don’t mind her wig being messy. It shows she doesn’t have to be perfect all the time. A normal human being",4,4,4
188045,188045,Lp2TXZ3wzjs,Aww... I know many can relate... So sad...:(,0,0,0
208834,208834,8I1B4n_8Cto,I'm a 62 yr old dude and I've loved Beck since I first heard him in '94.  Best musical phenom since The BeaTles.,4,4,4
124930,124930,nBAvUSZSEf8,"Trump you are to blame for this shooting. Keep up with your hate, bigotry and division and we will have another shooting like this or even worse.",0,0,0
132057,132057,wHSJljq_41I,Omg💜I love autumn too😍😍💝🍁🌈💝🍁💚,4,4,4
149635,149635,D6oaRAgdslE,"I think this video kind of perfectly demonstrates. Even though this was never his intention.\nWhy these should be made illegal.\n\nSo, is a hunter going to take one of these out and hunt game? Nope.\nIs somebody going to use one of these stocks for any sort of home defense scenario? Nope. You'd use a 12 gauge if you have any sense.\nIs there any use for this for practice? Nope, at close to a dollar a shot, it makes no sense to waste that much money that quickly.\nIs there much use for this for fun even!? Maybe a little... But I thought guns are supposed to be serious tools! Made to protect and defend one's loved ones!!! Not for firing off 30 rounds into the trees because you can't handle the recoil...\n\nThese will be banned. Very quickly..",4,4,2
174867,174867,p1RKkRCiU90,"Me: (After saying my whole name) You can call me Sum (as in Sum-mer or Some) in short, just Sum.\nGuy: Soooooom? (as in re-Sume)\nMe: Sum.\nGuy: Sooooom. (Same wrong pronunciation)\nMe: ... yup.",0,0,2
212960,212960,Xx7sxWI9FNI,My mom taught me to clean the rice with my hand until the mucky water turn clear ( around 3 rounds of washing and rinsing) and then use your index finger to measure how much water should be added in proportion to the amount of rice that u cook. We use a rice cooker instead of pots because Asian but the rice turns out perfect everytime :),4,4,2
211914,211914,BcYJ0CRyWaQ,If you were able to get Kanye West it would be intense. HOPE YOU READ THIS AND HOPEFULLY HE AGREES TO DO IT!!!!!!!!!!!,4,4,4
185768,185768,iGHDJ2_hsKE,Colombia PFG is my favorite clothing line its all I wear on while fishing. And the PFG tees are all i wear when im not on the water. I recommend Colombia 110%.,4,4,4
155064,155064,Uiccgh2GXzs,Hey man love your videos I looked on your sight and I wanted to get some merch like the shirt and hoodie combo to rep you here in crescent City ca  but all you have was up to 2xl if their any way I can get a custom size up to 3x or 4,4,4,4
154784,154784,4An2AF2rWGk,I love Kerry...,4,4,4
118872,118872,Ri4xPHGS5f8,The Prune Juice is Loose.,0,0,2
231845,231845,1rmAi9XmlIo,I'm late to the party but I love this,4,4,4
174635,174635,LunHybOKIjU,"Whether you like or hate Trump, you gotta admit that this rap was garbage especially compared to Eminem's other raps. It has nothing to do with it being arcapella either, it just sucked as a rap XD",0,0,0
222326,222326,CwfoyVa980U,I think Charlie Puth is the BEST singer in the world,4,4,4
193027,193027,msWS8WxRsrY,I miss nail art :(,0,0,0
142302,142302,DaNNFSluQOY,Best guest in awhile. Herbo top 5 out of the all the youngins,4,4,4
225479,225479,1rmAi9XmlIo,Thank fuck hes still making music,0,0,4
145003,145003,YqqJFqj5xQQ,Nice,4,4,4
161747,161747,btSvAjUrBhU,whoaaa that was amazing! i know I've commented on your videos saying i don't particularly like the style of music you've been making lately doesn't mean i don't absolutely respect your voice talent and music! i love you so much,4,4,4
198235,198235,Ef93WmlEho0,I live 10 mins away from the failed musical road. It sounds creepy and depressing.,0,0,0
205543,205543,Q0gTpASrRpI,It only cost a mere 500 mil?? That is pocket change for apple!,0,0,0
124673,124673,jmc7aUVKCMA,1985: There will be flying cars in 2017\n\n2017: Fuck that shit we going to Mars in 2024,0,0,2
201301,201301,FMQaJ6ylKs4,Scott just knows how to break my heart through song! #JustSaying\nThese boys - just insanely talented... can't deal. This video - amazing!,4,4,4
162918,162918,ORSMs7lZtdY,"They never say anything about an African American being a lone wolf, just another ridiculous example of how certain people get the benefit of the doubt...............",0,0,0
118696,118696,c3JbJmXInOs,It’s sad how accurate this is.,0,0,4
132347,132347,uoTIcwHK_aw,HAPPY B-DAY\nsorry I didn't know before...,4,4,4
212830,212830,n530GFrdPY8,so good,4,4,4
170776,170776,aDuB1arf8aE,I love when the others join in the video,4,4,4
227300,227300,4z4xoO-NGUg,This man beat his child's body (including genitals) with a stick. Who cares though that was a few years ago. Go AP,0,0,0
131826,131826,0PKthlZtLDo,Holy fuck this guy is such an embarrassment to Our country lmfaoooo.,0,0,4
135739,135739,1Yt1O-OhAm4,Hilarious and original!! Love it.,4,4,4
203508,203508,5fYkPljB9Zk,These guys + king of random + Colin furze = something really scary,0,0,4
204234,204234,QCOkDQqGkcM,Yes do the last one it’s amazing,4,4,4
156672,156672,-Egtbs-go4Q,Okay just because you clearly warned us that this may be a disturbing video doesn't mean we'd take it seriously! This is gross!,0,0,0
225340,225340,qvXXMsiQBDg,This song of yours says so many things. Loved it!,4,4,4
118495,118495,O2pyRDQgVjk,"This was an awesome episode, thank you :')",4,4,4
155318,155318,4kX7iBnoivA,Such a boring movie. I had no emotion watching this weird take on what the world would be like in the Blade Runner universe. Just a shit show. A police captain and medical doctor is killed and nothing happens to the killer? 2049 and not one damn security camera? Leto's character just kills his creations on a whim...wtf.,0,0,0
205044,205044,xTyTQgb-y-A,"I'm so glad they're using Jordan's amazing vocals, he is one of my favourite male singers at the moment along with Nathan Sykes. I love artists who have actual talent and a wide vocal range. 😍",4,4,4
200928,200928,x2l1vZ9dvAE,"If anyones interested, I sell HANDMADE STICKERS haha https://www.etsy.com/shop/DesignbyChesa",4,4,4
196143,196143,1y7giHbrvcc,"Mmm. I've listened to this song a few times by now, and I have to say: it grows on you, it really does! Really different and kind of aggressive, but not unpleasantly so. :D",4,4,4
143402,143402,R00hChXPBE8,Pixel 2 the same shit,0,0,0
172085,172085,gWzPYsSCExM,"Yeah, until I started doing AGameAWeek, and giving myself a weekly release deadline, I would always leave games unfinished, or in a I could add to this limbo state!\nFinishing is only half the task, though.   You then need to learn to move on to the next thing!",0,0,0
122669,122669,ELQfBOJOds0,What?!!!!!! That was the best presentation eva!!,4,4,4
169118,169118,doUdRCrK80E,I fucking hate the interviewer his voice is fucking triggering,0,0,0
188954,188954,gOsM-DYAEhY,This song was absolutely perfect for WWE Battleground.,4,4,4
182662,182662,1KCZHHMZVGQ,"That was terribly short and unsatisfying. Don't tell me something is wrong without telling me why. Otherwise, you are just as bad as the myth peddlers.",0,0,0
144266,144266,fJiaYnmUw60,Fck. Can't wait too see John Krasinski in a more serious role. Love this man. \n\n\n\n\n#nohomo,4,4,4
155084,155084,ARSNaSeT9hw,"I just have met you yesterday guys, awesome, It is so hilarious that I have just share it with a lot of people here in Bolivia, and well i would like to know if there is a way that you can start making spanish subtitles????",4,4,4
144056,144056,byA77xkQBEE,Las Vegas was a false flag.,0,0,2
232915,232915,Hlt3rA-oDao,I hate that actress probably more than anyone.,0,0,0
126357,126357,OZ5kXgYW5cE,Which low/bottom tier do you think has the best matchup against a top tier? Personally I think Shrikes have one of the best matchups against Bees. I'd say it's somewhere in the range of 70:30 Shirke's favor.,4,4,4
