,Unnamed: 0,video_id,comment,pol_textblob,pol_nlpWarriers,pol_human
269823,269823,pfQ09sKITss,I wanted kourtney to day “Kim there’s people that are dying”,2,0,2
436452,436452,fAuUd1HiWe4,FAMILY CHANNEL\nFAMILY CHANNEL\nFAMILY CHANNEL\nFAMILY CHANNEL\nFAMILY CHANNEL\nFAMILY CHANNEL\nFAMILY CHANNEL\nFAMILY CHANNEL\nFAMILY CHANNEL\nFAMILY CHANNEL\nFAMILY CHANNEL\nFAMILY CHANNEL\nFAMILY CHANNEL\nFAMILY CHANNEL\nFAMILY CHANNEL\nFAMILY CHANNEL\nFAMILY CHANNEL\nFAMILY CHANNEL\nFAMILY CHANNEL\nFAMILY CHANNEL\nFAMILY CHANNEL\nFAMILY CHANNEL\n FAMILY CHANNEL\n  FAMILY CHANNEL\n   FAMILY CHANNEL\n    FAMILY CHANNEL\n     FAMILY CHANNEL\n      FAMILY CHANNEL\n       FAMILY CHANNEL\n        FAMILY CHANNEL\n         FAMILY CHANNEL\n          FAMILY CHANNEL\n           FAMILY CHANNEL\n            FAMILY CHANNEL\n             FAMILY CHANNEL\n              FAMILY CHANNEL\n               FAMILY CHANNEL\n                FAMILY CHANNEL\n                 FAMILY CHANNEL\n                  FAMILY CHANNEL\n                   FAMILY CHANNEL\n                    FAMILY CHANNEL\n                    FAMILY CHANNEL\n                   FAMILY CHANNEL\n                  FAMILY CHANNEL\n                 FAMILY CHANNEL\n                FAMILY CHANNEL\n               FAMILY CHANNEL\n              FAMILY CHANNEL\n             FAMILY CHANNEL\n            FAMILY CHANNEL\n           FAMILY CHANNEL\n          FAMILY CHANNEL\n         FAMILY CHANNEL\n        FAMILY CHANNEL\n       FAMILY CHANNEL\n      FAMILY CHANNEL\n     FAMILY CHANNEL\n    FAMILY CHANNEL\n   FAMILY CHANNEL\n  FAMILY CHANNEL\n FAMILY CHANNEL\nFAMILY CHANNEL\nFAMILY CHANNEL\n FAMILY CHANNEL\n  FAMILY CHANNEL\n   FAMILY CHANNEL\n    FAMILY CHANNEL\n     FAMILY CHANNEL\n      FAMILY CHANNEL\n       FAMILY CHANNEL\n        FAMILY CHANNEL\n         FAMILY CHANNEL\n          FAMILY CHANNEL\n           FAMILY CHANNEL\n            FAMILY CHANNEL\n             FAMILY CHANNEL\n              FAMILY CHANNEL\n               FAMILY CHANNEL\n                FAMILY CHANNEL\n                 FAMILY CHANNEL\n                  FAMILY CHANNEL\n                   FAMILY CHANNEL\n                    FAMILY CHANNEL\n                    FAMILY CHANNEL\n                   FAMILY CHANNEL\n                  FAMILY CHANNEL\n                 FAMILY CHANNEL\n                FAMILY CHANNEL\n               FAMILY CHANNEL\n              FAMILY CHANNEL\n             FAMILY CHANNEL\n            FAMILY CHANNEL\n           FAMILY CHANNEL\n          FAMILY CHANNEL\n         FAMILY CHANNEL\n        FAMILY CHANNEL\n       FAMILY CHANNEL\n      FAMILY CHANNEL\n     FAMILY CHANNEL\n    FAMILY CHANNEL\n   FAMILY CHANNEL\n  FAMILY CHANNEL\n FAMILY CHANNEL\nFAMILY CHANNEL\nFAMILY CHANNEL\n*FAMILY CHANNEL *\n*FAMILY CHANNEL  *\n*FAMILY CHANNEL   *\n*FAMILY CHANNEL    *\n*FAMILY CHANNE L    *\n*FAMILY CHANNE  L    *\n*FAMILY CHANNE   L    *\n*FAMILY CHANNE    L    *\n*FAMILY CHANN E    L    *\n*FAMILY CHANN  E    L    *\n*FAMILY CHANN   E    L    *\n*FAMILY CHANN    E    L    *\n*FAMILY CHAN N    E    L    *\n*FAMILY CHAN  N    E    L    *\n*FAMILY CHAN   N    E    L    *\n*FAMILY CHAN    N    E    L    *\n*FAMILY CHA N    N    E    L    *\n*FAMILY CHA  N    N    E    L    *\n*FAMILY CHA   N    N    E    L    *\n*FAMILY CHA    N    N    E    L    *\n*FAMILY CH A    N    N    E    L    *\n*FAMILY CH  A    N    N    E    L    *\n*FAMILY CH   A    N    N    E    L    *\n*FAMILY CH    A    N    N    E    L    *\n*FAMILY C H    A    N    N    E    L    *\n*FAMILY C  H    A    N    N    E    L    *\n*FAMILY C   H    A    N    N    E    L    *\n*FAMILY C    H    A    N    N    E    L    *\n*FAMILY  C    H    A    N    N    E    L    *\n*FAMILY   C    H    A    N    N    E    L    *\n*FAMILY    C    H    A    N    N    E    L    *\n*FAMILY     C    H    A    N    N    E    L    *\n*FAMILY      C    H    A    N    N    E    L    *\n*FAMILY       C    H    A    N    N    E    L    *\n*FAMILY        C    H    A    N    N    E    L    *\n*FAMILY         C    H    A    N    N    E    L    *\n*FAMIL Y         C    H    A    N    N    E    L    *\n*FAMIL  Y         C    H    A    N    N    E    L    *\n*FAMIL   Y         C    H    A    N    N    E    L    *\n*FAMIL    Y         C    H    A    N    N    E    L    *\n*FAMI L    Y         C    H    A    N    N    E    L    *\n*FAMI  L    Y         C    H    A    N    N    E    L    *\n*FAMI   L    Y         C    H    A    N    N    E    L    *\n*FAMI    L    Y         C    H    A    N    N    E    L    *\n*FAM I    L    Y         C    H    A    N    N    E    L    *\n*FAM  I    L    Y         C    H    A    N    N    E    L    *\n*FAM   I    L    Y         C    H    A    N    N    E    L    *\n*FAM    I    L    Y         C    H    A    N    N    E    L    *\n*FA M    I    L    Y         C    H    A    N    N    E    L    *\n*FA  M    I    L    Y         C    H    A    N    N    E    L    *\n*FA   M    I    L    Y         C    H    A    N    N    E    L    *\n*FA    M    I    L    Y         C    H    A    N    N    E    L    *\n*F A    M    I    L    Y         C    H    A    N    N    E    L    *\n*F  A    M    I    L    Y         C    H    A    N    N    E    L    *\n*F   A    M    I    L    Y         C    H    A    N    N    E    L    *\n*F    A    M    I    L    Y         C    H    A    N    N    E    L    *\n* F    A    M    I    L    Y         C    H    A    N    N    E    L    *\n*  F    A    M    I    L    Y         C    H    A    N    N    E    L    *\n*   F    A    M    I    L    Y         C    H    A    N    N    E    L    *\n*    F    A    M    I    L    Y         C    H    A    N    N    E    L    *\n *    F    A    M    I    L    Y         C    H    A    N    N    E    L    *\n  *    F    A    M    I    L    Y         C    H    A    N    N    E    L    *\n   *    F    A    M    I    L    Y         C    H    A    N    N    E    L    *\n    *    F    A    M    I    L    Y         C    H    A    N    N    E    L    *\n     *    F    A    M    I    L    Y         C    H    A    N    N    E    L   *\n      *    F    A    M    I    L    Y         C    H    A    N    N    E    L  *\n       *    F    A    M    I    L    Y         C    H    A    N    N    E    L *\n        *    F    A    M    I    L    Y         C    H    A    N    N    E    L*\n         *    F    A    M    I    L    Y         C    H    A    N    N    E   L*\n          *    F    A    M    I    L    Y         C    H    A    N    N    E  L*\n           *    F    A    M    I    L    Y         C    H    A    N    N    E L*\n            *    F    A    M    I    L    Y         C    H    A    N    N    EL*\n             *    F    A    M    I    L    Y         C    H    A    N    N   EL*\n              *    F    A    M    I    L    Y         C    H    A    N    N  EL*\n               *    F    A    M    I    L    Y         C    H    A    N    N EL*\n                *    F    A    M    I    L    Y         C    H    A    N    NEL*\n                 *    F    A    M    I    L    Y         C    H    A    N   NEL*\n                  *    F    A    M    I    L    Y         C    H    A    N  NEL*\n                   *    F    A    M    I    L    Y         C    H    A    N NEL*\n                    *    F    A    M    I    L    Y         C    H    A    NNEL*\n                     *    F    A    M    I    L    Y         C    H    A   NNEL*\n                      *    F    A    M    I    L    Y         C    H    A  NNEL*\n                       *    F    A    M    I    L    Y         C    H    A NNEL*\n                        *    F    A    M    I    L    Y         C    H    ANNEL*\n                         *    F    A    M    I    L    Y         C    H   ANNEL*\n                          *    F    A    M    I    L    Y         C    H  ANNEL*\n                           *    F    A    M    I    L    Y         C    H ANNEL*\n                            *    F    A    M    I    L    Y         C    HANNEL*\n                             *    F    A    M    I    L    Y         C   HANNEL*\n                              *    F    A    M    I    L    Y         C  HANNEL*\n                               *    F    A    M    I    L    Y         C HANNEL*\n                                *    F    A    M    I    L    Y         CHANNEL*\n                                 *    F    A    M    I    L    Y        CHANNEL*\n                                  *    F    A    M    I    L    Y       CHANNEL*\n                                   *    F    A    M    I    L    Y      CHANNEL*\n                                    *    F    A    M    I    L    Y     CHANNEL*\n                                     *    F    A    M    I    L    Y    CHANNEL*\n                                      *    F    A    M    I    L    Y   CHANNEL*\n                                       *    F    A    M    I    L    Y  CHANNEL*\n                                        *    F    A    M    I    L    Y CHANNEL*\n                                         *    F    A    M    I    L    YCHANNEL*\n                                          *    F    A    M    I    L   YCHANNEL*\n                                           *    F    A    M    I    L  YCHANNEL*\n                                            *    F    A    M    I    L YCHANNEL*\n                                             *    F    A    M    I    LYCHANNEL*\n                                              *    F    A    M    I   LYCHANNEL*\n                                               *    F    A    M    I  LYCHANNEL*\n                                                *    F    A    M    I LYCHANNEL*\n                                                 *    F    A    M    ILYCHANNEL*\n                                                  *    F    A    M   ILYCHANNEL*\n                                                   *    F    A    M  ILYCHANNEL*\n                                                    *    F    A    M ILYCHANNEL*\n                                                     *    F    A    MILYCHANNEL*\n                                                      *    F    A   MILYCHANNEL*\n                                                       *    F    A  MILYCHANNEL*,2,0,2
335757,335757,FUBXKn1oP0g,You are from ravenclaw? I always thought you were from Slytherin,2,0,2
423854,423854,c_weoC3HT6Q,I could see Margot Robbie what in her 60 looks like,2,0,2
370271,370271,lLN1FwiqGwc,Personality,2,0,2
289608,289608,ZFF392vAMN8,Her tan is goals!😍,2,0,2
383044,383044,8I1B4n_8Cto,That is one hell of a hook.,2,0,4
242386,242386,S_DltnHeJ-M,we share the same bday 🙂 happy birthday to us,4,0,4
433837,433837,exuhr8R2AHw,"This is so sad...God bless them all and may he watch over them and keep them safe from all of these horrible wildfires. 🙏👼 all the hurricanes, earthquakes, tornadoes, and all the above....prayers love and blessings sent to you all.",2,0,0
451299,451299,-Denciie5oA,More dumbed down propaganda for the sheep.,4,0,0
350534,350534,akGWOpcWfrQ,Неудачный пикап),2,0,2
315412,315412,odhMmAPDc54,Ok how the fuck does this have nothing to do with thundercat,4,0,0
345681,345681,5fYkPljB9Zk,How sleep are you getting,2,0,2
454893,454893,TXo-qOQNK3E,"Hank, we were both in Nashville at the same time. I live there. What did you think of Music City USA?",4,0,2
442888,442888,AH0f3hesKjI,muhfucka look like he jumped right out of an Old Navy commercial.  Or the Smurf movie.,4,0,2
276810,276810,0VfGA5bE1AQ,Kwiza (Kristen and Liza ) or Livid (Liza and David ) pick wich one is better my ship names,4,0,2
369127,369127,FMQaJ6ylKs4,In love,4,0,4
415381,415381,IPWoD5Af7RE,#CakeBookQuiz it's a Icecream cake!,2,0,4
327249,327249,biKYH7o8j7k,Lol there is no way Kevin Lee is 185lbs sat there. You don't put 30lbs on in one day when you are his size and build. Dude looks about 170-175lbs tops,4,0,0
